61,O
-,O
letni,O
moški,O
se,O
je,O
pojavil,O
s,O
kroničnim,O
levim,B-ety
ušesom,I-ety
izcedekom,I-ety
",",O
glavobolom,B-ety
na,I-ety
levi,I-ety
strani,I-ety
",",O
diplopijo,B-ety
povezano,O
z,O
vrtoglavico,B-ety
",",O
tinitusom,B-ety
in,O
slušno,B-ety
okvaro,I-ety
.,O
"
"
MRI,O
s,O
kontrastom,O
je,O
pokazal,O
asimetrične,O
signalne,B-ety
spremembe,I-ety
v,O
dvostranskem,O
petrousnem,O
kosti,O
z,O
zmanjšanim,O
poudarjanjem,O
na,O
levi,O
strani,O
in,O
visokim,O
sumom,O
na,O
petrositis,B-ety
;,O
v,O
kontekstu,O
kroničnega,B-ety
tympanomastoiditisa,I-ety
je,O
bila,O
10,O
×,O
4,O
mm,O
poudarjena,O
lezijska,B-ety
v,O
levem,O
notranjem,O
slušnem,O
kanalu,O
z,O
vključitvijo,O
7,O
.,O
-,O
8,O
.,O
živčnega,O
kompleksa,O
.,O
"
"
pacient,O
je,O
bil,O
zdravljen,O
konzervativno,O
z,O
lokalnimi,O
in,O
sistemskimi,O
antimikrobnimi,O
sredstvi,O
",",O
imel,O
je,O
zadovoljiv,O
odziv,O
in,O
izboljšanje,O
glede,O
simptomov,O
izcedka,O
iz,O
ušesa,O
",",O
vrtoglavice,B-ety
in,O
diplopije,B-ety
",",O
vendar,O
ni,O
opaznega,O
odziva,O
glede,O
izgube,B-ety
sluha,I-ety
in,O
tinitusa,B-ety
.,O
"
"
22,O
-,O
letna,O
ženska,O
",",O
brez,O
prej,O
diagnosticiranih,O
bolezni,O
",",O
se,O
je,O
pojavila,O
na,O
oddelku,O
za,O
nujne,O
primere,O
s,O
3,O
-,O
dnevno,O
anamnezo,O
dihalne,B-ety
stiske,I-ety
",",O
utrujenosti,B-ety
in,O
centralne,B-ety
bolečine,I-ety
v,I-ety
prsih,I-ety
bolečine,I-ety
.,O
"
"
porocila,O
je,O
o,O
naraščajoči,O
dyspneji,B-ety
",",O
ki,O
se,O
je,O
razvila,O
v,O
preteklem,O
mesecu,O
.,O
"
"
imela,O
je,O
tudi,O
občasne,O
bolečine,B-ety
v,I-ety
malih,I-ety
sklepih,I-ety
za,O
več,O
mesecev,O
.,O
ni,O
bilo,O
družinske,O
anamneze,O
sle.pri,O
pregledu,O
je,O
imela,O
temperaturo,O
"38,2",O
°,O
C,O
",",O
srčni,O
utrip,O
115,O
utripov,O
/,O
minuto,O
",",O
krvni,O
tlak,O
90,O
/,O
60mmhg,O
",",O
dihalno,O
hitrost,O
25,O
dihov,O
/,O
minuto,O
",",O
zadušene,O
srčne,O
zvoke,O
in,O
vratno,B-ety
distenzijo.elektrokardiogram,O
je,O
pokazal,O
sinusno,B-ety
tahikardijo,I-ety
in,O
nizko,O
napetost.prsni,O
rentgen,O
je,O
pokazal,O
povečanje,O
srčne,O
sence,O
z,O
desnostranskim,O
pljučnim,B-ety
izlivom.ehokardiografija,O
je,O
razkrila,O
velik,O
obkrožajoč,B-ety
perikardialni,I-ety
izliv,I-ety
",",O
z,O
diastoličnim,B-ety
kolapsom,I-ety
desnega,I-ety
atrija,I-ety
",",O
razširjeno,O
spodnjo,O
veno,O
cavo,O
in,O
30%,O
respiratorno,O
variabilnost,O
dopplerjeve,O
mitralne,O
zaklopke,O
",",O
potrjujoč,O
diagnozo,O
srčnega,B-ety
tamponada.začetna,O
preiskava,O
je,O
pokazala,O
normokromno,B-ety
normocitno,I-ety
anemijo,I-ety
s,O
hemoglobinom,O
pri,O
"8,5g",O
/,O
dl,O
",",O
CRP,O
:,O
75mg,O
/,O
L,O
",",O
ledvične,O
in,O
jetrne,O
funkcije,O
testi,O
so,O
bili,O
normalni,O
.,O
"
"
nujna,O
perikardiocenteza,O
je,O
bila,O
indicirana,O
",",O
vendar,O
ni,O
bila,O
izvedena,O
zaradi,O
nesposobnosti,O
namestitve,O
vodilne,O
žice,O
v,O
perikardialno,O
votlino,O
.,O
"
"
tako,O
je,O
bila,O
izvedena,O
nujna,O
kirurška,O
perikardektomija,O
z,O
okenskim,O
postopkom,O
",",O
izpraznjenih,O
je,O
bilo,O
1200,O
čistega,O
tekočine,O
.,O
perikardialna,O
tekočina,O
je,O
vsebovala,O
2900,O
belih,O
krvnih,O
celic,O
/,O
mm³,O
",",O
100,O
rdečih,O
krvnih,O
celic,O
/,O
mm³,O
",",O
bakteriološka,O
kultura,O
in,O
citološki,O
pregledi,O
so,O
dali,O
negativne,O
rezultate,O
.,O
biopsija,O
perikarda,O
je,O
pokazala,O
znake,O
nespecifičnega,B-ety
vnetja,I-ety
",",O
malignosti,B-ety
in,O
tuberkuloze,B-ety
so,O
bile,O
izključene,O
.,O
nadaljnje,O
preiskave,O
so,O
bile,O
izvedene,O
za,O
določitev,O
etiologije,O
.,O
"
"
imunološka,O
preiskava,O
je,O
razkrila,O
titra,O
protinuklearnih,O
protiteles,O
1,O
:,O
1280,O
",",O
pozitivna,O
anti-ssa,O
in,O
anti-sm,O
protitelesa,O
ter,O
hipokomplementemijo,O
.,O
"
"
test,O
coombs,O
je,O
bil,O
pozitiven,O
.,O
diagnoza,O
sistemskega,B-ety
lupusa,I-ety
eritematoza,I-ety
je,O
bila,O
postavljena,O
na,O
podlagi,O
hemolitične,B-ety
anemije,I-ety
",",O
serozitisa,B-ety
",",O
artralgije,B-ety
",",O
pozitivnih,O
protinuklearnih,O
in,O
proti,O
SM,O
protiteles,O
ter,O
nizkega,O
komplementa,O
.,O
pacient,O
je,O
bil,O
začel,O
z,O
intravensko,O
terapijo,O
z,O
metilprednizolonom,O
",",O
ki,O
mu,O
je,O
sledil,O
prednizon,O
60mg,O
peroralno,O
dnevno,O
z,O
hidroksiklorokinom,O
.,O
"
"
imela,O
je,O
dober,O
klinični,O
odziv,O
in,O
kontrolna,O
ehokardiografija,O
je,O
pokazala,O
popolno,O
odpravo,O
perikardialnega,O
izliva,O
brez,O
ponovitve,O
.,O
"
"
60,O
-,O
letni,O
moški,O
se,O
je,O
pojavil,O
v,O
zunanji,O
ustanovi,O
zaradi,O
septičnega,B-ety
šoka,I-ety
s,O
hematezo,B-ety
.,O
"
"
imel,O
je,O
zdravstveno,O
anamnezo,O
diabetesa,B-ety
mellitusa,I-ety
",",O
hipertenzije,B-ety
in,O
mu,O
so,O
amputirali,O
desno,O
nogo,O
(,O
trans-femoralna,O
amputacija,O
),O
zaradi,O
diabetične,O
arteriopatije,B-ety
šest,O
mesecev,O
pred,O
sprejemom,O
",",O
zapleteno,O
z,O
vensko,O
trombozo,O
.,O
"
"
domača,O
zdravila,O
so,O
vključevala,O
dnevno,O
pioglitazon,O
",",O
atenolol,O
",",O
furosemid,O
in,O
antikoagulant,O
z,O
nizko,O
skladnostjo,O
.,O
"
"
začetni,O
pregled,O
je,O
razkril,O
",",O
da,O
je,O
pacient,O
v,O
stanju,O
septičnega,B-ety
šoka,I-ety
",",O
respiratorna,O
frekvenca,O
28,O
ciklov,O
na,O
minuto,O
",",O
njegov,O
pulz,O
je,O
bil,O
reden,O
z,O
vrhom,O
frekvence,O
120,O
utripov,O
/,O
min,O
",",O
temperatura,O
39,O
°,O
C,O
",",O
krvni,O
tlak,O
70,O
/,O
40,O
mmhg,O
",",O
imel,O
je,O
nekrotičen,O
in,O
gnojen,O
odrezan,B-ety
del,I-ety
z,O
odpravljenim,B-ety
